locode,name,lat,lon
CZOCX,Opocno,50.2667,16.1167
CZODO,Odolena Voda,51.15,4.85
CZOSI,Osice,50.15,15.6833
CZOVK,Smrzovka,50.7333,15.25
CZOVV,Novy Knin,49.7833,142.3333
CZPAO,Osik,60.1667,5.4667
CZPAU,Plana u Marianskych Lazni,49.8667,12.75
CZPNA,Polna,49.3333,15.7167
CZPNJ,Police nad Metuji,50.5333,16.2333
CZPOP,Popuvky,49.3333,17.3
CZRAU,Radonice,43.7,7.2667
CZRDN,Radonice,43.7,7.2667
CZRNH,Kralice na Hane,49.45,17.1833
CZSDO,Sviadnov,49.7,18.35
CZSEM,Semcice,50.3667,150.0
CZSK5,Dolni Jircany,49.95,14.5333
CZSKJ,Dehtary,50.15,140.6333
CZSMO,Smichov,50.0667,14.4
CZSPC,Stary Plzenec,35.4,-79.7833
CZSTA,Slatina,43.4667,23.95
CZSTE,Stechovice,49.85,14.4
CZSTT,Steti,50.45,14.3833
CZTIS,Tisnov,49.35,16.4333
CZTOM,Touzim,50.0667,12.9833
CZTUC,Tuchomerice,50.1333,14.2833
CZTVA,Tanvald,50.7333,15.3
CZULN,Usti nad Labem,50.6667,14.0333
CZVAA,Veverska Bityska,49.2833,16.45
CZVKA,Trnavka,50.0333,15.4667
CZXUY,Prague-Vinohrady,50.0667,14.45
CZXXX,RIS Inland waterways,-38.0,145.1167
CZZLY,Kvasice,49.25,17.4667
DE23A,Leinatal,50.9,10.6333
DE2RO,Rodersheim,49.4333,8.25
DE3L4,Hoppegarten,52.5167,13.6667
DE64Z,Niendorf Ostsee,54.0,10.8167
DE69S,Wittdun,54.6333,8.4
DE6NK,Langsur,49.7167,6.5
DE73A,Langballig,54.8,9.6333
DEAAD,Landkreis Ammerland,53.2167,8.0167
DEAAH,Aachen,50.7667,6.0833
DEABF,Abbenfleth,53.6667,9.4833
DEABH,Abbehausen,53.4833,8.4333
DEABL,Abbesbuttel,52.35,10.5667
DEABO,Alt Bork,52.1833,12.8667
DEADT,Weinstadt,48.8167,9.3667
DEAEB,Babelsberg,52.3833,13.1167
DEAGE,Wangerooge,53.8,7.9
DEAHC,Ahlbeck,53.6667,14.2
DEAHU,Am Hund,50.1667,7.6833
DEAIT,Aitrach,47.95,10.0833
DEALF,Alfeld/Leine,50.8667,3.6167
DEAMB,Amberg,49.4333,11.8667
DEAML,Amelsburen,51.8833,7.6
DEAMR,Achmer,52.4,7.9333
DEAND,Andernach,50.4333,7.4
DEANE,Wanne-Eickel,51.5333,7.1667
DEANR,Altenbruch Reede,53.85,8.8
DEAPE,Apen,53.2167,7.8
DEAPN,Apensen,53.2167,7.8
DEAQ2,Pforring,48.8167,11.6833
DEAQF,Alf,50.05,7.1167
DEARL,Ammerland,47.9,11.3333
DEARN,Arnsberg,51.3833,8.0833
DEASE,Arendsee,52.8833,11.4833
DEASR,Babelsberg,49.0833,11.9
DEASS,Assel,45.8667,4.7833
DEATL,Altenlingen,52.55,7.3
DEAUG,Augustfehn,53.2167,7.7667
DEAUO,Audorf,54.3167,9.7167
DEAUR,Aurich,53.4667,7.4833
DEAWR,Achterwehr,54.3167,9.9667
DEAXB,Alsleben,51.7,11.6667
DEB85,Schwindegg,48.2667,12.25
DEBAM,Bamberg,49.4333,11.8667
DEBAS,Basbeck,53.6833,9.1833
DEBBG,Brandenburg,52.4167,12.55
DEBBH,Barth,48.4,16.6167
DEBBV,Bad Bevensen,53.0833,10.5833
DEBCO,Bockholdt,52.8833,10.1167
DEBCT,Borschutz,56.4,13.2167
DEBCW,Brachwitz,51.5333,11.8667
DEBDA,Brodenbach,50.2167,7.45
DEBDF,Bendorf/Rhein,50.4167,7.5667
DEBEI,Beidenfleth,62.9,7.45
DEBEK,Bernkastel-Kues,36.1833,29.6333
DEBEN,Bensersiel,53.6833,7.5833
DEBER,Berlin,52.5167,13.3833
DEBES,Bad Essen,52.3167,8.3333
DEBEU,Bullenhausen,53.45,10.0833
DEBEV,Beverungen,50.7167,3.9333
DEBEZ,Bahlingen,48.1167,7.7333
DEBFF,Boffzen,51.75,9.3833
DEBFH,Bad Friedrichshall,51.5167,5.0167
DEBGL,Bergisch Gladbach,50.9833,7.1333
DEBGO,Bad Godesberg,47.7,19.1333
DEBIN,Bingen am Rhein,49.9667,7.8833
DEBIW,Bindow,52.2833,13.75
DEBKE,Brake,53.3333,8.4833
DEBKF,Biedenkopf,44.7,-72.5333
DEBKW,Beeskow,52.1667,14.2333
DEBLD,Burglengenfeld,49.2,12.0333
DEBLM,Blumenthal/Bremen,53.1833,8.5833
DEBMK,Borkum,53.5833,6.6667
DEBMN,Bermatingen,47.7333,9.3333
DEBMO,Borgemoor,53.0167,7.5
DEBMR,Baltrum,53.7333,7.3667
DEBMV,Bremervorde,53.4833,9.1333
DEBNK,Brink,52.4333,9.7333
DEBOF,Berndshof,59.55,10.0333
DEBOI,Boizenburg,53.3833,10.7167
DEBOK,Bokel,53.3833,8.7667
DEBON,Bonn,45.35,-0.6667
DEBQ2,Birklar,50.5,8.8167
DEBRA,Bramel,53.55,8.7
DEBRE,Bremen,53.1833,8.5833
DEBRI,Brilon,-17.65,-71.3333
DEBRK,Barnkrug,53.6833,9.4667
DEBRM,Bramsche,43.25,2.1167
DEBRN,Bornsen,51.0333,5.8167
DEBRO,Brohl-Lutzing,28.15,-82.45
DEBRT,Breitenberg,59.4833,10.3667
DEBRV,Bremerhaven,53.5333,8.6
DEBSH,Breisach,59.4833,10.3667
DEBSI,Bubsheim,48.1167,8.8167
DEBTA,Bortfeld,52.3,10.4
DEBTC,Bodenteich,52.85,10.6667
DEBTF,Brahlstorf,53.7,11.55
DEBTI,Bertingen,52.35,11.8333
DEBUL,Buhl,48.6833,8.1333
DEBUT,Butjadingen,53.5833,8.3667
DEBUX,Buxtehude,53.45,9.7
DEBUZ,Butzfleth,53.6667,9.4833
DEBWE,Braunschweig,52.2667,10.5
DEBWJ,Niebelsbach,48.8833,8.5667
DEBWQ,Birkweiler,49.2,8.0333
DEBXB,Boxberg,49.4833,9.6333
DEBYT,Borgstedt,54.3333,9.7167
DEBZQ,Burgstadt,50.9167,12.8167
DEBZR,Binz,54.4,13.6
DEBZS,Beddingen,52.1833,10.4167
DECAR,Carolinensiel,53.7,7.8
DECCC,Leimbach,48.4833,13.8833
DECGN,Koln,50.95,6.9333
DECH5,Niederkaina,51.2,14.4833
DECHL,Schulau,53.5833,9.7
DECKH,Blankenheim,50.4333,6.65
DECKK,Bockenem,52.0167,10.1333
DECKL,Kiel Canal,53.8833,9.1333
DECPZ,Copitz,50.9667,13.9333
DECRL,Castrop-Rauxel,51.55,7.3
DECRR,Crossen an der Elster,50.9667,11.9667
DECUM,Cumlosen,53.0167,11.65
DECUX,Cuxhaven,53.8833,8.7
DECWN,Schwaan,53.95,12.1167
DECYN,Castell,39.9833,-0.0333
DEDAN,Dangast,53.45,8.1167
DEDAP,Damp,50.4167,4.4
DEDCH,Bacharach,50.05,7.7667
DEDDD,Letmathe,51.3667,7.6
DEDE3,Dombuhl,49.25,10.2833
DEDE8,Laubenheim,49.9167,7.9
DEDEB,Deuben,51.1167,12.0667
DEDEO,Oberthal,49.5167,7.1
DEDEU,Dernau,50.5333,7.0333
DEDFN,Dettighofen,59.55,10.0333
DEDFX,Niederdollendorf,50.7,7.1833
DEDGA,Deggenau,48.8167,12.9833
DEDHM,Diersheim,48.65,7.8833
DEDIA,Dierhagen,54.3,12.3667
DEDIT,Ditzum,53.3167,7.2833
DEDMG,Dormagen,51.0833,6.8167
DEDMN,Demmin,53.9,13.0333
DEDNR,Derenburg,51.8667,10.9167
DEDNT,Dorenthe,52.2167,7.6833
DEDON,Dorsten,51.6667,6.9667
DEDOW,Donauworth,59.4667,17.3833
DEDR5,Drebber,52.65,8.4333
DEDRO,Drochtersen,53.7,9.3833
DEDRP,Dorpen,52.95,7.3167
DEDRS,Dresden,59.4833,10.3667
DEDSB,Diesbar,51.25,13.4167
DEDSC,Dinkelscherben,48.35,10.5833
DEDSU,Dersum,52.9667,7.2833
DEDT8,Dittersdorf,50.75,12.1167
DEDTM,Dortmund,51.5,7.4833
DEDUI,Duisburg,51.4667,6.75
DEDUL,Dusslingen,48.45,9.05
DEDUS,Dusseldorf,51.2333,6.7833
DEDVE,Dorverden,52.85,9.2333
DEDWD,Dannenwalde,53.0833,13.1833
DEEAM,Erlenbach am Main,49.8,9.1667
DEEAU,Erlau,51.0167,12.9333
DEEAX,Effeldorf,49.8,10.0833
DEEBB,Eberbach,49.4667,8.9833
DEEBI,Ehrenbreitstein,50.35,7.6167
DEECK,Eckernforde,61.45,5.8333
DEEDD,Eiderdeich,54.2833,9.4
DEEDI,Edingen,49.4333,8.6
DEEEM,Leimersheim,49.7667,8.0833
DEEFE,Grafenhainichen,51.7167,12.45
DEEGC,Eching/Landshut,48.5167,12.0667
DEEGJ,Eggermuhlen,52.5667,7.8167
DEEGL,Eggenstein-Leopoldshafen,49.5167,12.2333
DEEHI,Ehingen,48.2833,9.7333
DEEHM,Senheim,50.0833,7.2
DEEHS,Eisenhuttenstadt,52.15,14.65
DEELB,Ellerbek,54.3333,10.1833
DEELF,Elsenfeld,49.8333,9.15
DEELG,Belgern,51.4833,13.1167
DEELS,Elsfleth,53.2333,8.4667
DEEM4,Emersacker,48.5,10.6667
DEEME,Emden,53.3667,7.2167
DEEOM,Eggolsheim,49.7667,11.05
DEERA,Watzerath,50.1833,6.35
DEERX,Biere,51.9667,11.65
DEERY,Ering,48.3,14.5167
DEESF,Estorf/Weser,69.0167,15.1333
DEESS,Essen,51.15,5.8167
DEESU,Emmelsum,51.6,6.6
DEETN,Elten,51.8667,6.15
DEETY,Ettal,47.5667,11.1
DEEZH,Elzach,48.1667,8.0667
DEEZN,Lenzen,53.0833,11.4333
DEFBR,Falkenberg,51.5667,-130.2167
DEFDH,Friedrichshafen,51.5167,5.0167
DEFES,Freistett,48.6667,7.95
DEFFO,Frankfurt/Oder,52.35,14.55
DEFHE,Frielendorf,50.9833,9.3333
DEFHL,Friedrichsfeld,51.6333,6.65
DEFHM,Fellheim,48.0667,10.15
DEFNW,Fritzdorf,50.6,7.1
DEFRA,Frankfurt am Main,50.1167,8.6833
DEFRE,Fresenburg,52.8833,7.3
DEFRI,Friedrichstadt,51.5167,5.0167
DEFRR,Frauenau,48.9833,13.3
DEFSH,Framersheim,49.75,8.1667
DEFWH,Friedrich-Wilhelmshutte,50.8,7.15
DEFYE,Friesoythe,53.0167,7.85
DEGAO,Gau Odernheim,49.7833,8.1833
DEGBX,Barbing,49.0,12.2
DEGDO,Godorf,50.85,6.9667
DEGDZ,Gudderath,51.1167,6.4333
DEGEK,Gelsenkirchen,51.5167,7.1167
DEGEM,Gemunden,47.9167,13.8
DEGFD,Gersfeld,50.45,9.95
DEGFF,Grafschaft,50.5833,7.0667
DEGHM,Gernsheim,49.15,7.2167
DEGHZ,Gersheim,49.15,7.2167
DEGJ9,Mengkofen,48.7167,-123.0
DEGKG,Gross Krotzenburg,50.0833,8.9833
DEGKR,Goldkronach,50.0167,11.6833
DEGL3,Muglitztal,50.9333,13.8333
DEGLK,Glucksburg,54.8333,9.55
DEGMN,Grimmen,54.1167,13.05
DEGMR,Grimberg,51.05,7.15
DEGMV,Graal-Muritz,54.25,12.2333
DEGNL,Gelbensande,54.2,12.3
DEGNP,Ginepp,50.5833,12.15
DEGNR,Grau Rheindorf,50.75,7.0667
DEGNU,Gronau,52.2167,7.0333
DEGNX,Gutenberg,49.8833,7.8
DEGO4,Gossenheim,50.0167,9.7833
DEGPR,Groppenbruch,51.5667,7.3667
DEGRD,Greifswald,59.4833,10.3667
DEGRE,Greetsiel,53.5,7.1
DEGRO,Grossenbrode,54.3833,11.0833
DEGS5,Gilserberg,50.95,9.0667
DEGSA,Grosslehna,51.2833,12.15
DEGSI,Grossensiel,53.4667,8.4833
DEGST,Geeste,52.6,7.2667
DEGTR,Gohlis,51.35,13.2833
DEGUE,Gusen,52.35,11.9667
DEGUZ,Urmitz,50.4,7.5167
DEGXG,Gager,54.3,13.6833
DEGXN,Gimmeldingen,49.3667,8.15
DEGXR,Grode,54.6333,8.7167
DEGXS,Gaussig,51.1167,14.3167
DEGYM,Mainzlar,50.6667,-8.7333
DEGZG,Grosszerlang,53.1833,12.95
DEHAJ,Hannover,52.3667,9.7167
DEHAM,Hamburg,53.5167,9.9333
DEHAN,Hameln,52.1,9.35
DEHAO,Hasloch,49.7833,9.4833
DEHAU,Hanau,50.1333,8.9
DEHBO,Homberg,51.45,6.6833
DEHBR,Herbrum,53.0333,7.3167
DEHBU,Harburg,53.4667,9.9833
DEHCS,Hochst/Frankfurt am Main,50.1,8.55
DEHD8,Hitdorf,51.0667,6.9333
DEHDI,Hiddingsel,51.8333,7.4
DEHE5,Heimersheim,49.7667,8.0833
DEHEE,Herne,51.55,7.2167
DEHEI,Heidelberg,49.4167,8.7
DEHEN,Heilbronn,59.4667,17.3833
DEHGE,Hooge,54.5667,8.55
DEHGL,Helgoland,54.1667,7.8833
DEHGZ,Hergatz,47.65,9.8333
DEHH7,Hauneck,50.8167,9.7333
DEHHL,Hehlen,51.9833,9.4667
DEHHO,Grosseichholzheim,49.45,9.2833
DEHHV,Altenwerder,53.5167,9.9167
DEHJK,Roschbach,49.2333,8.1167
DEHLH,Haldensleben,59.1,11.3667
DEHLN,Hollenstedt,51.7333,9.95
DEHLO,Haseldorf,53.6333,9.6
DEHLP,Hiltrup,51.9,7.6333
DEHME,Hattenheim,50.0167,8.05
DEHML,Helmlingen,48.7,7.9667
DEHMM,Hamm,51.6833,7.8
DEHMO,Hemmoor,53.7,9.1167
DEHNF,Hennigsdorf,52.6333,13.2167
DEHO4,Hochstadt,49.2333,8.2
DEHOD,Hochdonn,59.4667,17.3833
DEHOJ,Hohenhameln,52.2667,10.0667
DEHOO,Hooksiel,53.6333,8.0167
DEHOS,Horumersiel,53.6833,8.0167
DEHPE,Hoopte,53.4,10.1667
DEHRC,Heinrichsberg,52.2667,11.7333
DEHRE,Hirzenhain,50.4,9.1333
DEHRN,Haren/Ems,50.8833,4.4167
DEHRO,Hubertushohe,52.2333,13.9667
DEHRT,Herten,51.6,7.1333
DEHRX,Hallig,54.5333,9.6667
DEHSA,Hohensaaten,52.8667,14.15
DEHSB,Horselberg,50.9667,10.4167
DEHSI,Heidesheim,50.0,8.1333
DEHSJ,Steinhorst,52.6833,10.4
DEHSU,Hundsmuhlen,53.1,8.1833
DEHSX,Harlesiel,53.7,7.8
DEHTJ,Hamburg-Mitte,53.55,10.0167
DEHTU,Holtenau,52.5333,6.3333
DEHUB,Berggiesshubel,50.8667,13.9333
DEHUS,Husum,63.3333,19.1667
DEHUX,Hunsborn,50.9333,7.8833
DEHZN,Holzminden,51.8167,9.45
DEHZZ,Huttingen,47.6667,7.5333
DEIAM,Amrum,54.65,8.35
DEIEN,Biene,52.5667,7.2833
DEIEW,Schwielowsee,52.3333,12.9667
DEIGH,Igersheim,49.5,9.8167
DEILE,Albersweiler,49.2167,8.0167
DEILH,Lich,50.5167,8.8167
DEING,Ingolstadt,48.7667,11.4333
DEISP,Ispringen,48.9167,8.6667
DEISU,Issum,51.5333,6.4167
DEITH,Grieth,51.7833,6.3167
DEITN,Weitnau,47.6333,10.1167
DEIWN,Weinbergen,52.3167,6.0167
DEJEM,Jemgum,53.2667,7.3833
DEJIV,Kettenheim,49.7167,8.1
DEJSN,Jossen,52.4,9.0
DEJTN,Jettingen,48.3833,10.4167
DEJUI,Juist,53.6833,7.0
DEKAR,Karnin,54.3,12.8
DEKB6,Kosbach,49.6,10.9333
DEKBR,Kinderbeuern,50.0,7.0167
DEKCO,Kirchmoser,52.3667,12.4167
DEKDT,Kallstadt,49.4833,8.1667
DEKEB,Kelsterbach,51.8333,12.8333
DEKEL,Kiel,54.3333,10.1333
DEKEZ,Kellmunz,51.2167,5.8
DEKFT,Segnitz,49.7333,9.3167
DEKGM,Konigsmoor,53.6667,9.35
DEKGU,Kriegenbrunn,49.55,10.95
DEKHN,Kellinghusen,51.2167,5.8
DEKHO,Kochendorf,49.2,9.2
DEKHU,Karthaus,51.8667,7.3
DEKIE,Kietz,52.5667,14.6167
DEKKU,Kunkemuhle,52.4,7.3667
DEKLS,Kesselstadt,50.1167,8.8833
DEKLX,Klusserath,50.6167,3.7667
DEKMT,Kaimt,50.0167,7.1667
DEKNT,Kreinitz,51.3667,13.2333
DEKOF,Kolenfeld,52.3833,9.45
DEKON,Konstanz,59.4667,17.3833
DEKOW,Konigswinter,59.4667,17.3833
DEKPE,Kampe,50.95,4.55
DEKPF,Kipfenberg,48.95,11.3833
DEKR9,Kronskamp,53.9333,12.3167
DEKRA,Krautsand,53.75,9.3833
DEKRE,Krefeld,51.3333,6.5667
DEKRV,Krov,68.1667,14.6667
DEKTN,Kosten,50.15,11.0167
DEKUP,Kuppenheim,48.8167,8.25
DEKVG,Kovenig,49.9833,7.1167
DEKWH,Konigs Wusterhausen,52.2833,13.6167
DEKZB,Kranzberg,48.4,11.6167
DELAD,Landau in der Pfalz,49.2,8.1167
DELAE,Lagerdorf,43.2167,-9.0
DELAM,Lampertheim,-31.95,115.85
DELAT,Lathen,52.8667,7.3167
DELAW,Langewiesen,50.6667,10.9833
DELBC,Lubeck,44.85,-66.9833
DELBM,Lubmin,54.1333,13.6
DELCW,Loschwitz,51.05,13.8167
DELDH,Landshut,48.5167,12.0667
DELDM,Langendamm,54.3,12.4667
DELER,Elster,51.8333,12.8333
DELEV,Leverkusen,51.0333,7.0
DELEW,Lemwerder,53.1667,8.6167
DELGB,Langenbach,48.05,8.2833
DELGO,Langeoog,53.75,7.4833
DELGX,Ludwigshohe,49.8167,8.35
DELHD,Lahde,52.3667,9.0
DELIA,Leina,50.9,10.6167
DELIB,Liebenau,52.6,9.1
DELIG,Lingen,52.55,7.3
DELIS,List/Sylt,44.2667,14.7667
DELIU,Lindau,47.55,9.6833
DELIZ,Leissnitz,52.1167,14.2167
DELKI,Lankwitz,52.4333,13.35
DELLI,Gallin,51.8333,12.75
DELLS,Lulsdorf,50.8333,6.9833
DELNH,Lohnerheide,52.1833,8.6833
DELNU,Lauenburg/Elbe,53.3667,10.5667
DELON,Longuich,59.4667,17.3833
DELOW,Lunow,52.9167,14.1167
DELPH,Leipheim,48.4333,10.2333
DELPQ,Liepgarten,53.7167,14.0167
DELRC,Lembruch,52.5333,8.35
DELRN,Linz am Rhein,50.5667,7.2833
DELS4,Laussig,51.55,12.6333
DELSA,Lassan,53.95,13.8333
DELSH,Limeshain,50.25,86.5333
DELSR,Lieser,49.9167,7.0167
DELSU,Ludwigsau,50.8833,9.7333
DELT9,Lutgenrode,51.6333,9.9167
DELTF,Lichterfelde,52.8667,13.75
DELUH,Ludwigshafen,49.4667,8.4333
DELYY,Bullay,49.05,4.0
DELZ6,Dolzig,51.35,12.2167
DELZG,Wolzig,52.2667,13.8333
DEM5B,Munchsdorf,48.5833,12.9
DEMAI,Mainz,50.6667,-8.7333
DEMAM,Malente,54.1667,10.55
DEMAO,Maasholm,56.6833,10.0
DEMDI,Meiderich,51.4667,6.7667
DEME8,Meineweh,51.0833,11.9833
DEMEI,Meissen,51.15,13.4833
DEMEM,Memmert,53.6333,6.9
DEMFL,Malsfeld,51.0833,9.5333
DEMGW,Mogglingen,48.8167,9.9667
DEMHA,Schmedehausen,52.1,7.7167
DEMHG,Mannheim,49.4833,8.45
DEMHM,Monheim,48.8333,10.8333
DEMHR,Mehring,49.8,6.8167
DEMIB,Misburg,52.3667,9.85
DEMID,Minden,52.2833,8.9
DEMIN,Minsen,53.7,7.9667
DEMLO,Marlow,54.5333,13.55
DEMMF,Mammendorf,48.2,11.15
DEMMI,Mamming,48.65,12.6
DEMMM,Mommenheim,49.8667,8.25
DEMMO,Mulheim,49.9,7.0
DEMNF,Mondorf,50.7833,7.0667
DEMNM,Minheim,49.8667,6.9333
DEMNQ,Munster-Sarmsheim,49.95,7.8833
DEMOE,Molln,51.1833,5.1
DEMOZ,Motzen,53.1667,8.5667
DEMRM,Marcardsmoor,53.45,7.7167
DEMRS,Mariensiel,53.5,8.05
DEMRU,Mehrum,52.3,10.1
DEMSB,Mittelsburen,53.1333,8.6667
DEMSH,Mescherin,53.25,14.4333
DEMSK,Martinskirchen,51.4667,13.1833
DEMSR,Munster,51.9667,7.6333
DEMUH,Mulheim an der Ruhr,51.4333,6.8833
DEMUN,Munster,52.9833,10.0833
DEMV5,Ferdinandshof,53.6667,13.8833
DEMVD,Dassow,53.9167,10.9833
DEMWF,Mittelherwigsdorf,50.9167,14.7667
DEMWW,Monchweiler,48.1,8.4333
DEMXA,Maxau,49.0333,8.3167
DEMXB,Muhlberg,51.4333,13.2167
DEMXM,Maximiliansau,49.0333,8.3
DEMZE,Mellensee,52.1833,13.4
DENCA,Neuscharrel,53.0167,7.7833
DENCZ,Nieschutz,51.2333,13.4333
DENDQ,Dreisbach,50.6167,7.9333
DENEH,Neuhaus an der Oste,53.8,9.0333
DENEL,Neuland/Elbe,53.75,9.3333
DENES,Nessmersiel,53.6667,7.35
DENFE,Neef,50.1,7.1333
DENGH,Niederneuching,48.25,11.85
DENGL,Neustadt-Glewe,53.3833,11.5833
DENHA,Nordenham,53.5,8.4833
DENHE,Nordheim,49.1,9.1333
DENHL,Niehl/Koln,51.0,6.9667
DENHN,Nordhorn,52.4333,7.0833
DENHO,Neustadt in Holstein,54.1,10.8167
DENHS,Neuharlingersiel,53.7,7.7
DENIH,Hasbergen,60.3833,5.3167
DENMN,Neumagen-Dhron,49.85,6.8833
DENN4,Neuleiningen,49.5333,8.1333
DENNH,Neuendorf-Hiddensee,54.9167,13.5167
DENNP,Kenn,49.8,6.7167
DENO9,Nobdenitz,50.8667,12.2833
DENOD,Norden,53.5,8.4833
DENOE,Norddeich,53.6167,7.15
DENOR,Nordstrand,54.5,8.8833
DENSE,Neuessen,51.5,7.0
DENSS,Neuss,51.1833,6.6833
DENST,Neckarsteinach,49.5167,12.2333
DENSV,Neumarkt-Sankt Veit,48.3667,12.5
DENTA,Neckartailfingen,48.6167,9.25
DENUE,Nurnberg,49.4333,11.0667
DENWC,Kirchhellen,51.6,6.9333
DENZE,Neckarzimmern,49.3167,9.15
DENZM,Nahmitz,52.3333,12.7333
DEOAB,Ober-Abtsteinach,49.5333,8.7833
DEOAN,Oberhausen an der Nahe,49.7833,7.75
DEOBE,Oberhausen,51.4667,6.85
DEOEE,Oberwesel,50.1167,7.7167
DEOEX,Obereiderhafen,54.3,9.6667
DEOFF,Offenbach,50.1,8.7667
DEOGO,Ostseebad Goehren,54.3333,13.7333
DEOHE,Rothensee,52.1833,11.6667
DEOHL,Wohlenberg,53.9333,11.25
DEOIN,Blossin,52.25,13.7833
DEOKE,Schonebeck,52.0167,11.7333
DEOKG,Ostseebad Kuhlungsborn,54.15,11.75
DEOKY,Oberkotzau,50.2667,11.9333
DEOLB,Oldenbuttel,61.8333,6.8
DEOLD,Oldendorf,53.45,8.5167
DEOLK,Wolkenstein,50.65,13.0667
DEOLO,Oldenburg,53.1667,8.2
DEOLU,Oldersum,53.3333,7.3333
DEONG,Longen,49.8,6.7833
DEORM,Ober-Morlen,50.3667,8.6833
DEORS,Orsoy,51.5167,6.6833
DEOSB,Ossenberg,51.5667,6.5667
DEOSL,Osloss,52.4667,10.6833
DEOSN,Osnabruck,52.2667,8.05
DEOSR,Ostermoor,53.9,9.1833
DEOSW,Oestrich-Winkel,50.0,8.0
DEOTK,Oortkaten,53.4333,10.1
DEOTT,Otterndorf,53.8,8.9
DEOWH,Hohenwarthe,52.2333,11.7167
DEOWT,Oberwinter,50.6,7.2
DEPAH,Pahlhude,54.2667,9.3167
DEPAP,Papenburg,53.0667,7.4
DEPAS,Passau,48.5667,13.45
DEPCE,Pruchten,54.3833,12.6667
DEPEF,Peenemunde,54.1333,13.7833
DEPEI,Peine,52.3167,10.2333
DEPEL,Pellworm,54.5167,8.6333
DEPEN,Pente,52.3833,7.9667
DEPFR,Pfronten,47.5833,10.55
DEPJQ,Nusplingen,48.1333,8.8667
DEPKU,Putzkau,51.1,14.2167
DEPLL,Pollhagen,52.3833,9.2
DEPLS,Pliezhausen,48.55,9.2
DEPOT,Potsdam,52.4,13.0667
DEPPT,Piesport,49.8833,6.9167
DEPRC,Perrich,51.65,6.55
DEPRN,Prettin,51.6667,12.9167
DEPRW,Prerow,59.4833,10.3667
DEPRY,Parey,52.6833,12.25
DEPSA,Plessa,51.45,13.6167
DEPSB,Piesberger,52.3167,8.0167
DEPSR,Piesteritz,51.8667,12.6
DEPSW,Petershagen/Weser,44.2,0.6167
DEPTD,Petersdorf,54.2167,12.4333
DEPTN,Parkentin,54.0833,11.9833
DEPYK,Spyck,51.8,6.1333
DEPZI,Pautzfeld,49.7667,11.0167
DERAD,Radolfzell,51.2167,5.8
DERAR,Ruhstorf an der Rott,48.4333,13.3333
DERBF,Rotenburg an der Fulda,51.0,9.7333
DERBI,Grambin,53.7667,14.0167
DERBK,Riesenbeck,52.2667,7.6167
DERCI,Rechlin,53.3333,12.7167
DERCK,Recke,52.3833,7.7167
DERDL,Riedlhutte,48.9,13.35
DERDT,Rot an der Rot,48.0,10.0167
DERDU,Radeburg,51.2167,13.7167
DERDW,Rudow,52.4167,13.4833
DERE5,Rech,50.5167,7.0333
DEREE,Reepsholt,53.4833,7.8333
DEREG,Regensburg,59.4833,10.3667
DEREM,Remagen,44.2,0.6167
DEREN,Rendsburg,59.4833,10.3667
DERET,Rethem,52.7833,9.3833
DERFI,Reichenbach an der Fils,48.7167,9.4667
DERFT,Kirschfurt,50.1667,10.3667
DERHB,Rheinberg,51.55,6.5833
DERHE,Rheine,50.8667,3.6167
DERHX,Bad Durrheim,48.0167,8.5333
DERIC,Werrich,51.65,6.5333
DERIK,Rieneck,50.0833,9.6333
DERIZ,Britz,52.45,13.4333
DERKQ,Dornach,48.15,11.6833
DERLB,Grauelsbaum,48.7333,7.9833
DERLZ,Bralitz,52.8333,14.0
DERNT,Runthe,51.6333,7.65
DEROS,Rosenheim,60.1667,5.4667
DERP7,Flemlingen,49.2333,8.0833
DERPD,Derschen,50.7167,7.9833
DERPL,Lonsheim,59.4667,17.3833
DERRE,Rerik,54.1,11.6167
DERRG,Rheinsberg,53.1,12.8833
DERRP,Weisenheim am Sand,49.5167,8.2333
DERSK,Rostock,54.0833,12.1333
DERTJ,Reichartshausen,49.35,8.9333
DERU7,Rudesheim,49.85,7.8167
DERUB,Rusbend,52.3167,9.0667
DERUE,Rudesheim am Rhein,49.9833,7.9167
DERUM,Russelsheim,49.9833,8.4333
DERZE,Wriezen,52.7167,14.1333
DES3B,Schechingen,48.8667,9.9167
DESAR,Salzgitter,52.15,10.3167
DESAU,Schacht-Audorf,54.3167,9.7167
DESCJ,Lommatzsch,51.2,13.3
DESCV,Schleiden,50.5167,6.4667
DESCW,Schweinfurt,50.05,10.2167
DESDD,"Steenodde, Amrum",54.65,8.35
DESDE,"Sande, Friesland",60.2167,-1.3833
DESDI,Schalding,48.6,13.35
DESDT,Schwedt,53.0667,14.2667
DESE8,Seeshaupt,47.8333,11.3
DESEF,Schelldorf,52.4667,11.9833
DESEH,Sehestedt/Eider,62.9,7.45
DESEP,Sostrop,60.1667,5.4667
DESFL,Schonfeld,51.3,13.7
DESGW,Schwelgern,51.5,6.7333
DESH2,Schaprode,54.5167,13.1667
DESH4,Altengors,53.9,10.2
DESKN,Stephanskirchen,47.85,12.1833
DESKS,Salbke,52.0833,11.6667
DESL5,Stahlbrode,54.2333,13.2833
DESLQ,Schluettsiel,54.6833,8.75
DESLZ,Sulzbach-Laufen,48.9333,9.85
DESMA,Sankt Margarethen,53.9,9.25
DESN2,Stein,49.5167,12.2333
DESNC,Sunching,48.8833,12.35
