locode,name,lat,lon
ARCUA,Cuatreros/Bahia Blanca,-38.7167,-62.2833
ARDGU,Del Guazu,-33.9,-58.8667
ARDME,Diamante,-32.0667,-60.65
ARDSU,Dock Sur,-34.65,-58.3333
ARFMA,Formosa,60.1667,5.4667
ARGEO,Agrelo,-33.1167,-68.8833
ARGHU,Gualeguaychu,-33.0167,-58.5167
ARIBY,Ibicuy,-33.7333,-59.1667
ARINW,Ingeniero White/Bahia Blanca,-38.7833,-62.2667
ARIQO,Coquimbito,-32.9667,-68.75
ARJLS,Jose Leon Suarez,60.1667,5.4667
ARLAV,Lavalle,-28.2,-65.1333
ARLCU,Lujan de Cuyo,-33.05,-68.8667
ARLPG,La Plata,-34.85,-57.8833
ARLPM,La Paz,-33.4667,-67.55
ARLPS,Las Palmas,-34.0167,-59.1167
ARLUJ,Lujan,-34.5667,-59.1
ARLZG,Luzuriaga,-32.95,-68.8167
ARMDQ,Mar del Plata,-38.05,-57.5333
ARNOS,Molinos,-25.4167,-66.3167
AROVI,Olavarria,-36.8833,-60.3333
AROYA,Goya,35.2333,136.85
AROYO,Tres Arroyos,-38.3833,-60.2833
ARPAL,Puerto Alumbrera,-32.65,-60.75
ARPBG,Puerto Belgrano/Bahia Blanca,-38.7167,-62.2833
ARPCO,Punta Colorada,-41.7,-65.0
ARPCY,Pilcomayo,49.05,4.0
ARPEL,Puerto Eldorado,-26.35,-54.6833
ARPGV,Puerto Galvan/Bahia Blanca,-38.7167,-62.2833
ARPLA,Puerto Lavalle,-29.0167,-59.1833
ARPLO,Punta Loyola,1.0,15.9
ARPME,Punta Medanos,-36.8333,-56.6667
ARPMY,Puerto Madryn,-42.75,-65.0333
ARPNL,Puerto Nacional/Bahia Blanca,-38.7167,-62.2833
ARPP9,Pablo Podesta,-34.6,-58.5167
ARPRA,Parana,-31.7333,-60.5333
ARPRS,Puerto Rosales/Bahia Blanca,-38.9333,-62.0667
ARPSS,Posadas,60.1667,5.4667
ARPUD,Puerto Deseado,-47.75,-65.9
ARPWA,Puerto Wanda,-25.9667,-54.6
ARQBR,Quebracho/San Lorenzo,-32.65,-60.7167
ARQQN,Quequen,-38.5333,-58.7
ARRAM,Ramallo,12.15,-84.2167
ARRFO,Rosario de la Frontera,-25.8,-64.9667
ARRGA,Rio Grande,-53.7833,-67.7
ARRGL,Rio Gallegos,-51.6333,-69.2167
ARRIC,Rio Cullen,-52.8,-68.1833
ARRIV,Rivadavia,-33.1833,-68.4667
ARROC,Puerto Ingeniero M. Rocca,-34.85,-57.9333
ARROS,Rosario,-32.95,-60.65
ARRSF,Resinfor,-32.65,-60.7333
ARRWO,Rawson,-43.3,-65.1
ARRZA,Santa Cruz,-50.0167,-68.4167
ARSAE,San Antonio Este,-40.8,-64.7333
ARSAN,Santa Ana,-27.3333,-55.5833
ARSCA,San Carlos,-33.7667,-69.0333
ARSFE,San Fernando,36.4667,-6.2
ARSFN,Santa Fe,-31.6,-60.6833
ARSIG,San Ignacio,-27.2667,-55.5667
ARSLO,San Lorenzo,1.25,-78.8333
ARSMA,San Martin,-32.7167,-60.7333
ARSMR,San Martin,-33.0667,-68.4667
ARSNS,San Nicolas de los Arroyos,-33.3333,-60.2333
ARSPD,San Pedro,-33.6833,-59.1667
ARSSJ,San Salvador de Jujuy,-24.1833,-65.3
ARSSN,San Sebastian,-53.3,-68.4667
ARSTA,Santa Rosa,-33.25,-68.15
ARTIM,Timbues,-32.6333,-60.7833
ARTUC,Tucuman,-26.8167,-65.2167
ARTUN,Tunuyan,-33.5667,-69.0167
ARULA,San Julian,-49.3,-67.7167
ARURD,Urdurrain,-32.6833,-58.8833
ARUSH,Ushuaia,-54.8,-68.3
ARVCN,Villa Constitucion,-33.2333,-60.3333
ARVHE,Villa Hernandarias,-31.2333,-59.9833
ARVLO,Vicente Lopez,-34.5167,-58.4833
ARXPD,San Pedro,-33.6833,-59.1667
ARZAE,Zarate,-34.1,-59.0333
ASPPG,Pago Pago,14.2667,-170.7
AT7PZ,Prinzersdorf,48.2,15.5167
ATATK,Paternion,46.7,13.6333
ATATN,Asten,48.2167,14.4
ATAWH,Altenworth,48.3833,15.85
ATBFS,Bischofshofen,47.4167,13.2167
ATBNN,Hobersbrunn,48.5,16.5667
ATBOE,Bohlerwenk,47.9833,14.75
ATBRI,Engabrunn,48.45,15.75
ATBRZ,Bregenz,47.5,9.7667
ATDFC,Engerwitzdorf,48.35,14.45
ATDKZ,Deutschkreutz,47.6,16.6333
ATDOF,Hadersdorf,48.45,15.7167
ATDRA,Drasenhofen,48.75,-16.65
ATDRO,Dross,48.45,15.5667
ATDUE,Durnstein,48.3833,15.5167
ATDWA,Deutsch Wagram,48.3,16.5667
ATEBR,Ebreichsdorf,47.95,16.4
ATEIN,Hoflein,48.0667,16.7833
ATEPD,Erpersdorf,48.3333,15.9
ATERL,Erl,47.6667,12.1667
ATERM,Vordernberg,47.4667,15.0
ATERO,Engelmannsbrunn,48.45,15.8833
ATERR,Dobermannsdorf,48.6,16.8167
ATETZ,Rietz,47.2833,11.05
ATEWD,Eibiswald,46.6833,15.8333
ATFBZ,Sankt Stefan ob Stainz,46.9167,15.25
ATFG7,Achau,48.6667,-162.5
ATFHR,Fehring,46.9333,16.0
ATFNA,Freudenau,48.1833,16.4333
ATFPS,Fulpmes,47.15,11.35
ATFSU,Faistenau,47.7667,13.2167
ATGA6,Gamlitz,46.7167,15.55
ATGDN,Gmunden,47.9167,13.8
ATGFS,Greifenstein,48.3333,16.2333
ATGGU,Oggau,47.8333,16.6667
ATGHH,Haugsdorf,48.7,16.0667
ATGHJ,Krustetten,48.3667,-154.0
ATGRN,Grein,48.2167,14.8333
ATGSN,Gutenstein,47.8667,15.8833
ATHKM,Hadersdorf-Kammern,48.45,15.7167
ATIEG,Limberg,48.5833,15.8667
ATITN,Hausleiten,48.3833,16.1
ATJDD,Judendorf,47.1167,15.35
ATJPS,Japons,48.7833,15.5667
ATKAM,Kammern im Liesingtal,47.4,14.9
ATKFD,Knittelfeld,47.2,14.8167
ATKMB,Krummnussbaum,48.2167,15.1667
ATKTT,Kematen in Tirol,47.25,11.2667
ATLKN,Falkenstein,48.7167,13.5833
ATLTS,Leutschach,46.6667,15.4667
ATLTX,Hainfeld,48.0333,15.7667
ATLUA,Lembach,48.4833,13.8833
ATLZD,Langenzersdorf,48.3,16.35
ATMAB,Marbach an der Donau,48.2167,15.15
ATMAN,Manning,48.0833,13.6667
ATMBS,Morbisch am See,47.75,16.6667
ATMKA,Markt Allhau,47.2333,16.0833
ATMKC,Mitterkirchen,48.1833,14.7
ATNAD,Neuhofen an der Ybbs,48.05,14.85
ATND2,Nickelsdorf,47.9333,17.0667
ATNFN,Neufelden,48.4833,13.9833
ATNGG,Neudegg,48.4833,15.8833
ATNNN,Donnerskirchen,47.9,16.6333
ATNT9,Muthmannsdorf,47.8333,16.1
ATNUZ,Nuziders,47.1833,9.8
ATOSH,Ottensheim,48.3333,14.1833
ATPAS,Podersdorf am See,47.85,16.8333
ATPBU,Persenbeug,48.1833,15.0667
ATPET,Petzenkirchen,48.1333,15.15
ATRAD,Radstadt,47.3833,13.45
ATREG,Regau,48.0833,14.1333
ATRHN,Ranshofen,48.2333,13.0
ATRHR,Rohrau,48.0667,16.85
ATRRF,Ruhrsdorf,48.4,15.5
ATSAG,Schutzen am Gebirge,47.85,16.6167
ATSAK,Sankt Aegidi,48.4833,13.75
ATSFT,Senftenberg,48.4333,15.55
ATSGS,Sankt Georgen bei Salzburg,47.9833,12.8833
ATSK3,Sankt Margrethen,46.6333,14.3833
ATSMK,Schonau im Muhlkreis,48.3833,14.7333
ATSMR,Sankt Margarethen an der Raab,47.05,15.75
ATSPG,Spannberg,48.45,16.7333
ATSPZ,Spitz,48.3667,15.4167
ATSSS,Steinberg,47.4833,16.4833
ATST6,Straden,46.8,15.8667
ATSTD,Steeg,47.6,13.6333
ATSUH,Sankt Ulrich,48.6,16.7667
ATSUS,Steinhaus,48.1167,14.0167
ATSVM,Sankt Veit im Muhlkreis,48.4667,14.15
ATSWH,Gross-Schweinbarth,48.4,16.6167
ATSXA,Bernhardsthal,48.6833,16.8667
ATTAM,Tamsweg,47.1333,13.8
ATTEN,Hausmannstatten,46.9833,15.5
ATTFS,Terfens,47.3167,11.65
ATTHS,Theiss,48.3833,15.6833
ATTKP,Taufkirchen an der Pram,48.4167,13.5333
ATTMR,Traismauer,48.3333,15.7333
ATTTL,Schrattenthal,48.7,15.9
ATVEL,Velden,46.6167,14.05
ATWDF,Weitendorf,46.8833,15.4667
ATWEU,Weinburg,48.1,15.5167
ATWSE,Wallsee,48.1667,14.7167
ATWUL,Wulkaprodersdorf,47.8,16.5
ATXAE,Oehling,48.1,14.8
ATXXX,RIS Inland waterways,-38.0,145.1167
ATZIN,Inzersdorf an der Traisen,48.3167,15.6667
ATZLF,Jetzelsdorf,48.7,16.05
ATZNG,Zobing,48.4833,15.6833
ATZRF,Ketzelsdorf,48.65,16.65
AU5CI,Selby,-37.9167,145.3833
AUABP,Abbot Point,-19.9,148.0833
AUADL,Adelaide,-34.9167,138.5833
AUAGS,Augusta,-34.3167,115.1667
AUALD,Aldgate,-35.0167,138.7333
AUALI,Australind,-33.2833,115.7167
AUALP,Abell Point,-20.2667,148.7167
AUAMR,Amrun,-12.9167,141.6167
AUANN,Annandale,-33.8833,151.1667
AUAPP,Applecross,-32.0167,115.8333
AUARD,Ardrossan,55.6167,-4.8167
AUASB,Ashburton,-21.6833,115.0
AUASH,Ashton,-34.9333,138.7333
AUATT,Attadale,-32.0167,115.7833
AUBAA,Balhannah,-34.9833,138.8333
AUBAE,Baerami,-32.4,150.4833
AUBAL,Balnarring,-38.3667,145.1333
AUBAR,Barry Beach,-38.7,146.3833
AUBBG,Bing Bong,-15.6,136.35
AUBBL,Beelbangera,-34.2667,146.1
AUBBY,Bremer Bay,-34.3833,119.3667
AUBDY,Bomaderry,-34.85,150.6167
AUBE9,Belrose,-33.7333,151.2167
AUBEL,Bell Bay,49.05,4.0
AUBFD,Beresfield,-32.8,151.65
AUBIC,Bicheno,-41.8667,148.2833
AUBKE,Berkeley Vale,-33.35,151.4333
AUBLP,Black Point,-11.15,132.15
AUBNE,Brisbane,-27.4667,153.0167
AUBNK,Ballina,54.1167,-9.1667
AUBNN,Bannockburn,-38.05,144.1667
AUBNY,Blayney,-33.5333,149.25
AUBOB,Bobin,-31.7167,152.2833
AUBOD,Boondall,-27.3333,153.05
AUBOL,Bridgewater-on-Loddon,-36.6,143.95
AUBOO,Booby Island,-10.6,141.9167
AUBOT,Boort,-36.1167,143.7167
AUBOU,Boundary Bend,-34.7,143.15
AUBOV,Blacktip Terminal,-14.4,129.35
AUBOY,Boyer,-42.8333,147.3
AUBPO,Bridport,-41.0,147.4
AUBRR,Berrys Creek,-38.4167,146.0667
AUBRT,Bathurst Island,50.6167,3.7667
AUBSA,Brighton-Le-Sands,-33.95,151.15
AUBTB,Botany Bay,49.05,4.0
AUBUC,Burketown,-17.7333,139.5333
AUBUL,Bulli,-34.3,150.9167
AUBUS,Busselton,59.4667,17.3833
AUBUV,Buffalo Venture,59.4833,10.3667
AUBUY,Bunbury,50.9,-0.5667
AUBVD,Belvidere,-35.3,138.9333
AUBWB,Barrow Island,42.0833,19.0833
AUBWI,Bulwer,-27.0667,153.3667
AUBYY,Bushy Park,-37.8667,147.0333
AUC8R,Cromer,-34.7667,139.0
AUCAP,Capalaba,-27.5167,153.1833
AUCAR,Carina Heights,-27.5,153.0833
AUCBA,Corio Bay,-38.1167,144.4333
AUCBO,Carboor,-36.6333,146.55
AUCDN,Clarendon,-35.1167,138.6333
AUCHB,Catherine Hill Bay,50.6167,3.7667
AUCHE,Chermside,-27.3833,153.1667
AUCHV,Challis Venture (oil terminal),-12.1167,125.0167
AUCLF,Carlingford,-33.7833,151.05
AUCLL,Collan Islands,56.6167,-6.5167
AUCLM,Claremont,-31.9833,115.7833
AUCLR,Clarence River,-33.8333,138.6
AUCMB,Cambridge,-42.8333,147.45
AUCMO,Como,-34.0,151.0667
AUCMP,Camperdown,-33.8833,151.1667
AUCN6,Chinderah,-28.2333,153.55
AUCNW,Coonawarra,-37.3,140.8167
AUCOO,Coomera,-27.8833,153.3
AUCOP,Cossack Pioneer (oil terminal),-19.5833,116.45
AUCOU,Coolum,-26.55,153.0833
AUCOW,Cowaramup,-33.8667,115.0833
AUCPN,Cape Preston,53.75,-2.7167
AUCPR,Coorparoo,-27.5,153.05
AUCRF,Crafers,-35.0,138.7
AUCRL,Coral Bay,-23.1333,113.7667
AUCRS,Coral Sea,-19.0833,150.9
AUCRU,Cronulla,-34.05,151.15
AUCRV,Coromandel Valley,-35.05,138.6167
AUCST,Coldstream,-37.7167,145.3667
AUCTE,Cottesloe,-32.0,115.7667
AUCTH,Thevenard Island,-21.45,114.9833
AUCTI,Cockatoo Island,-16.1,123.6167
AUCTN,Cooktown,30.8833,-98.4667
AUCTT,Cottles Bridge,-37.6333,145.2167
AUCUN,Caufield North,-37.8667,14.85
AUCVL,Clovelly,-33.9,151.25
AUCVN,Cleveland,-27.5333,153.2667
AUCVQ,Carnarvon,59.4667,17.3833
AUCVS,Caversham,-31.8833,115.9667
AUDA5,Twowells,-34.6,138.5
AUDAL,Dalton,-34.7167,149.1833
AUDAR,Dardanup,-33.4,115.75
AUDFE,Longwood,59.4667,17.3833
AUDGA,Tea Gardens,-32.6667,152.15
AUDHI,Dhipirrinjura,-12.25,135.0833
AUDIA,Diamond Creek,-37.6667,145.15
AUDIL,Cowandilla,-34.9167,138.55
AUDIT,Dalrymple Islet,-9.6,143.3
AUDLP,Arndell Park,-33.7833,150.8667
AUDON,Cape Don,-11.3167,131.75
AUDPO,Devonport,50.3667,-4.1833
AUDRB,Derby,52.9333,-1.5
AUDRW,Darwin,-12.45,130.8333
AUDRY,Drysdale,-38.1667,144.5667
AUDSW,Padstow,-33.95,151.0333
AUEDE,Eden Valley,-34.65,139.1
AUELB,Elizabeth Bay,-11.9,136.55
AUELE,Electrona,59.4667,17.3833
AUELT,Eltham,-37.7333,145.15
